Country,Player,Position,PositionDetail,RAV,MarketValue,Club,Age,Nationality,Second Nationality,TransfermarktID
Seychelles,Brandon Labrosse,Forward,RW,8.61,€50k,Foresters Mont Fleuri,27,Seychelles,,703201
Guam,Leon Morimoto,Defender,LB,8.8,€50k,Hunters FC,24,Guam,Japan,875855
Guam,Jason Cunliffe,Midfielder,AM,6.89,€25k,FC Arizona,42,Guam,,198044
Guam,Kyle Halehale,Defender,CB,7.47,€25k,Mercyhurst Lakers (Mercyhurst University),24,Guam,United States,678148
Guam,Morgan McKenna,Defender,CB,7.47,€25k,UnknownUnknown,23,Guam,,875853
Guam,E. J. Sablan,Forward,ST,7.47,€25k,WL Hilltoppers (West Liberty University),21,Guam,,906647
Guam,Nainoa Norton,Midfielder,AM,7.47,€25k,ONU Tigers (Olivet Nazarene University),22,Guam,,906662
Guam,Kai Pahl,Defender,RB,7.48,€25k,SMU Saints (Saint Martin's University),21,Guam,,906663
Guam,James Gomez,Forward,CF,7.47,€25k,AMSG FC,21,Guam,,942226
Guam,Oz Rocca,Forward,LW,7.47,€25k,PLNU Athletics,21,Guam,United States,1181790
Guam,John-Michael Guidroz,Goalkeeper,GK,7.5,€25k,West Florida Argonauts (Uni. of West Florida),21,Guam,United States,1181784
Guam,Justin Cruz,Forward,CF,,€10k,Rovers FC Guam,,Guam,,1529647
Guam,Levi Berg,Forward,LW,6.38,€10k,Without ClubWithout Club,18,Guam,United States,1193398
Guam,Josiah Jones,Goalkeeper,GK,6.39,€10k,Bank of Guam Strykers FC,19,Guam,,1181795
Guam,Shuntaro Suzuki,Midfielder,AM,6.38,€10k,Red Wings FC,20,Guam,,1056946
Guam,Levi Buckwalter,Defender,CB,6.38,€10k,Red Wings FC,21,Guam,,1056939
Guam,Michael Castaneda,Midfielder,CM,6.38,€10k,Islanders FC (Guam),24,Guam,,906659
Guam,Joey Ciochetto,Forward,LW,6.26,€10k,Irvine Zeta FC,29,Guam,,678107
Seychelles,Francesco Joyce Anacoura,Goalkeeper,GK,13.17,€200k,Ravenna FC,31,Italy,Seychelles,199598
Tonga,Ata Inia,Forward,LW,10.53,€100k,Bangkok FC,26,Tonga,Australia,861058
Tonga,Alifeleti Peini,Defender,CB,10.76,€100k,Western Suburbs FC,21,Tonga,New Zealand,1001478
Cayman Islands,Gunnar Studenhofft,Forward,CF,9.81,€75k,Phoenix Rising FC,24,Cayman Islands,,765535
Cayman Islands,Maleek Powell,Forward,CF,6.38,€10k,Valenzuela PB-Mendiola FC,23,Cayman Islands,England,1468573
Djibouti,Pape Coulibaly,Midfielder,DM,10.54,€100k,Al-Tersana SC Tripoli,26,Djibouti,Senegal,1357639
Djibouti,Warsama Hassan,Midfielder,DM,8.61,€50k,AP Brera Strumica,27,Djibouti,Belgium,381970
Djibouti,Doualeh Mahamoud Elabeh,Midfielder,CM,8.33,€50k,AS Arta/Solar7,34,Djibouti,,440026
Djibouti,Ali Youssouf Farada,Defender,RB,8.45,€50k,AS Port,30,Djibouti,,719874
Djibouti,Yabe Siad,Defender,LB,8.57,€50k,AS Arta/Solar7,28,Djibouti,,805093
Djibouti,Gabriel Dadzie,Forward,CF,8.5,€50k,Al-Tersana SC Tripoli,29,Djibouti,Ghana,886715
Djibouti,Sulait Luyima,Goalkeeper,GK,8.44,€50k,AS Arta/Solar7,32,Djibouti,Uganda,886716
Djibouti,Samuel Akinbinu,Forward,CF,8.61,€50k,Kenya Commercial Bank Nairobi,27,Djibouti,Nigeria,907526
Djibouti,Moussa Hamadou Araita,Defender,CB,8.52,€50k,AS Port,29,Djibouti,,930256
Djibouti,Mouad Hassan,Forward,LW,8.66,€50k,Kozakken Boys Werkendam,26,Djibouti,Netherlands,969201
Djibouti,Ibrahim Idriss Mohamed,Defender,LB,8.8,€50k,AS Ali Sabieh/Djibouti Télécom,23,Djibouti,,1172948
Djibouti,Moussa Amoud,Forward,CF,7.42,€25k,Garde-Côtes FC,25,Djibouti,,1387273
Djibouti,Ahemdini Ali Gohar,Midfielder,CM,7.43,€25k,Garde-Côtes FC,25,Djibouti,,1387272
Djibouti,Ahmed Zakaria,Defender,CB,7.35,€25k,AS Ali Sabieh/Djibouti Télécom,27,Djibouti,,1384966
Djibouti,Abdillahi Elmi,Forward,ST,7.47,€25k,AS Port,23,Djibouti,,1175291
Djibouti,Idriss Houmed Bilha,Defender,CB,7.31,€25k,AS Port,28,Djibouti,,1066848
Djibouti,Liban Mohamed Said,Goalkeeper,GK,7.49,€25k,Garde Républicaine FC,24,Djibouti,,972449
Djibouti,Omar Mahamoud,Goalkeeper,GK,7.49,€25k,AS Port,24,Djibouti,,811033
Djibouti,Ahmed Youssouf Omar,Forward,CF,7.34,€25k,AS Port,27,Djibouti,,719893
Djibouti,Mahdi Houssein Mahabeh,Forward,RW,7.22,€25k,AS Arta/Solar7,30,Djibouti,,440022
Macau,Cláudio David,Defender,RB,12.2,€150k,CF Esperança d'Andorra,24,Macao,Portugal,974126
Macau,Ka-Hang Leong,Forward,CF,9.35,€75k,MUST IPO,33,Macao,Hongkong,191122
Macau,Man-Fai Ho,Goalkeeper,GK,8.41,€50k,Tai Po,33,Macao,,191128
Macau,Chi-Seng Leung,Forward,LW,8.66,€50k,Shao Jiang SA,26,Macao,,850756
Macau,Cheng-Lam Lei,Midfielder,AM,8.8,€50k,Shao Jiang SA,21,Macao,,909267
Macau,Hoi-San Cheong,Midfielder,CM,7.31,€25k,Shao Jiang SA,28,Macao,,497840
Macau,Wa-Si Vaselie Lei,Goalkeeper,GK,7.45,€25k,Shao Jiang SA,25,Macao,Portugal,866429
Macau,Hou-In Si,Forward,RW,7.47,€25k,Eastern District U22,21,Macao,,870536
Macau,Nuno Pereira,Midfielder,CM,7.31,€25k,Portimonense SC,28,Macao,Portugal,954771
Macau,Hin-Nang Sou,Defender,LB,7.48,€25k,Shao Jiang SA,21,Macao,,909265
Macau,Si-Kit Pan,Forward,CF,6.38,€10k,University of Macau,22,Macao,,1392298
Macau,Chi-Ioi Chio,Defender,CB,6.39,€10k,MUST IPO,19,Macao,,1392297
Macau,Cho-Fong Huang,Defender,CB,6.39,€10k,Shao Jiang SA,19,Macao,,1315500
Macau,Weng-Kin Lam,Defender,CB,6.38,€10k,Ching Fung,20,Macao,,1179952
Macau,Wai-Hin Leong,Midfielder,CM,6.38,€10k,Gala,20,Macao,,1122135
Macau,Hou-In Lei,Defender,RB,6.31,€10k,Ching Fung,27,Macao,,871154
Macau,Jorge Vitorino,Forward,CF,6.33,€10k,Ching Fung,26,Macao,Portugal,870580
Macau,Lek-Hang Ieong,Midfielder,CM,6.38,€10k,Eastern District,22,Macao,,870540
Macau,Hou-In Leong,Forward,CF,6.26,€10k,Benfica de Macau,29,Macao,,850788
Macau,Marcos Cheong,Defender,LB,6.38,€10k,Gala,23,Macao,,850786
Macau,Dion Carlos Choi,Midfielder,AM,6.31,€10k,MUST IPO,27,Macao,,850778
Macau,Amancio,Defender,CB,6.12,€10k,Benfica de Macau,36,Macao,Portugal,497841
Macao,Cláudio David,Defender,RB,12.2,€150k,CF Esperança d'Andorra,24,Macao,Portugal,974126
Macao,Ka-Hang Leong,Forward,CF,9.35,€75k,MUST IPO,33,Macao,Hongkong,191122
Macao,Man-Fai Ho,Goalkeeper,GK,8.41,€50k,Tai Po,33,Macao,,191128
Macao,Chi-Seng Leung,Forward,LW,8.66,€50k,Shao Jiang SA,26,Macao,,850756
Macao,Cheng-Lam Lei,Midfielder,AM,8.8,€50k,Shao Jiang SA,21,Macao,,909267
Macao,Hoi-San Cheong,Midfielder,CM,7.31,€25k,Shao Jiang SA,28,Macao,,497840
Macao,Wa-Si Vaselie Lei,Goalkeeper,GK,7.45,€25k,Shao Jiang SA,25,Macao,Portugal,866429
Macao,Hou-In Si,Forward,RW,7.47,€25k,Eastern District U22,21,Macao,,870536
Macao,Nuno Pereira,Midfielder,CM,7.31,€25k,Portimonense SC,28,Macao,Portugal,954771
Macao,Hin-Nang Sou,Defender,LB,7.48,€25k,Shao Jiang SA,21,Macao,,909265
Macao,Si-Kit Pan,Forward,CF,6.38,€10k,University of Macau,22,Macao,,1392298
Macao,Chi-Ioi Chio,Defender,CB,6.39,€10k,MUST IPO,19,Macao,,1392297
Macao,Cho-Fong Huang,Defender,CB,6.39,€10k,Shao Jiang SA,19,Macao,,1315500
Macao,Weng-Kin Lam,Defender,CB,6.38,€10k,Ching Fung,20,Macao,,1179952
Macao,Wai-Hin Leong,Midfielder,CM,6.38,€10k,Gala,20,Macao,,1122135
Macao,Hou-In Lei,Defender,RB,6.31,€10k,Ching Fung,27,Macao,,871154
Macao,Jorge Vitorino,Forward,CF,6.33,€10k,Ching Fung,26,Macao,Portugal,870580
Macao,Lek-Hang Ieong,Midfielder,CM,6.38,€10k,Eastern District,22,Macao,,870540
Macao,Hou-In Leong,Forward,CF,6.26,€10k,Benfica de Macau,29,Macao,,850788
Macao,Marcos Cheong,Defender,LB,6.38,€10k,Gala,23,Macao,,850786
Macao,Dion Carlos Choi,Midfielder,AM,6.31,€10k,MUST IPO,27,Macao,,850778
Macao,Amancio,Defender,CB,6.12,€10k,Benfica de Macau,36,Macao,Portugal,497841
Mongolia,Ganbold Ganbayar,Midfielder,AM,12.69,€175k,KFC Komarno,25,Mongolia,,522628
Mongolia,Oyunbaatar Mijiddorj,Forward,CF,9.48,€75k,FC Ulaanbaatar,29,Mongolia,,491433
Mongolia,Filip Andersen,Defender,CB,9.84,€75k,Negeri Sembilan FC,23,Mongolia,Denmark,610435
Mongolia,Zayat Temuulen,Forward,CF,8.78,€50k,Khangarid FC,22,Mongolia,,1061355
Mongolia,Ankhbayar Sodmunkh,Forward,RW,8.79,€50k,Bulgan SP Falcons,21,Mongolia,,1061353
Mongolia,Orkhon Munkh-Orgil,Defender,CB,8.63,€50k,Taichung Futuro,27,Mongolia,,545613
Mongolia,Dulguun Amaraa,Forward,RW,8.72,€50k,FC Ulaanbaatar,25,Mongolia,,677772
Mongolia,Tsogt-Ochir Jargaltuyaa,Defender,LB,7.31,€25k,FC Ulaanbaatar,28,Mongolia,,724077
Mongolia,Saikhanbayar Otgontsagaan,Defender,CB,7.43,€25k,Bulgan SP Falcons,25,Mongolia,,1055853
Mongolia,Tuguldur Gantogtokh,Forward,CF,7.47,€25k,SK Dynamo Ceske Budejovice,21,Mongolia,,1044752
Mongolia,Tsenguun Khandaa,Goalkeeper,GK,7.49,€25k,Bulgan SP Falcons,23,Mongolia,,990302
Mongolia,Uuganbat Temuulen,Forward,ST,7.47,€25k,FC Ulaanbaatar,21,Mongolia,,1061358
Mongolia,Gan-Erdene Erdenebat,Midfielder,CM,7.48,€25k,Deren FC,20,Mongolia,,911231
Mongolia,Khashchuluun Naranbaatar,Defender,CB,7.48,€25k,Deren FC,21,Mongolia,,911213
Mongolia,Otgonbaatar Enkh-Orgil,Defender,RB,7.31,€25k,Central Stallions,28,Mongolia,,902689
Mongolia,Batkhishig Mygmar,Forward,ST,7.2,€25k,Bulgan SP Falcons,31,Mongolia,,548363
Mongolia,Saikhanchuluun Amarbayasgalan,Goalkeeper,GK,7.29,€25k,Central Stallions,29,Mongolia,,544298
Mongolia,Togoo Munkhbaatar,Midfielder,CM,7.39,€25k,Khoromkhon FC,26,Mongolia,,1145934
Mongolia,Batsukh Tuguldur,Defender,CB,6.38,€10k,Khoromkhon FC,22,Mongolia,,1349059
Mongolia,Tsend-Ayush Khurelbaatar,Midfielder,AM,6.12,€10k,Khovd Western FC,36,Mongolia,,68529
Mongolia,Khürelbaatar Taivankhuu,Defender,CB,6.26,€10k,Central Stallions,29,Mongolia,,946945
Mongolia,Gerelt-Od Bat-Orgil,Midfielder,DM,6.38,€10k,FC Ulaanbaatar,24,Mongolia,,229893
Mongolia,Munkh-Erdene Tuguldur,Midfielder,CM,6.14,€10k,Bulgan SP Falcons,35,Mongolia,,191132
Aruba,Gladwin Curiel,Defender,RB,11.5,€125k,Without Club,24,Aruba,Netherlands,779750
Aruba,Joey Zwaan,Goalkeeper,GK,8.86,€50k,Without Club,20,Aruba,Netherlands,1299058
Samoa,Dauntae Mariner,Midfielder,DM,11.3,€125k,South Island United FC,26,Samoa,Australia,486334
Samoa,Niko Steinmetz,Defender,CB,11.35,€125k,Western Springs AFC,26,Samoa,New Zealand,643914
Samoa,Kaleb De Groot-Green,Midfielder,DM,10.69,€100k,Coastal Spirit FC,24,Samoa,New Zealand,921209
Samoa,Jarvis Vaai,Forward,LW,7.47,€25k,Nelson Suburbs FC,23,Samoa,,597684
Samoa,Luke Salisbury,Defender,CB,7.48,€25k,Without Club,21,Samoa,New Zealand,1053071
Samoa,Alman Kwan,Forward,RW,6.38,€10k,FC Western,23,Samoa,,597690
Samoa,Bill Tuiloma,Defender,CB,16.83,€400k,Wellington Phoenix,31,New Zealand,Samoa,172333
Samoa,Michael Boxall,Defender,CB,11.77,€150k,Minnesota United FC,37,New Zealand,Samoa,81723
Samoa,Nikko Boxall,Defender,CB,8.35,€50k,Auckland City FC,34,New Zealand,Samoa,185195
Cook Islands,Benjamin Mata,Defender,CB,11.97,€150k,Wellington Olympic AFC,27,Cook Islands,New Zealand,350350
Cook Islands,Emmett Connolly,Goalkeeper,GK,11.71,€125k,Tupapa Maraerenga,19,Cook Islands,New Zealand,1003827
Cook Islands,Ine Maro,Goalkeeper,GK,10.85,€100k,Auckland United FC,21,Cook Islands,,1001481
Cook Islands,Tremaine Rimene-Albrett,Forward,CF,6.38,€10k,Western Suburbs FC,23,Cook Islands,New Zealand,1020545
Cook Islands,Max Mata,Forward,CF,14.2,€250k,St. Patrick's Athletic,26,New Zealand,Cook Islands,408965
Cook Islands,Nicholas Smith,Defender,CB,6.38,€10k,Ferrymead Bays FC,24,New Zealand,Cook Islands,468063
Eritrea,Tesfaldet Tekie,Midfielder,CM,29.14,€2.00m,Hammarby IF,29,Eritrea,,283185
Eritrea,Ali Sulieman,Forward,CF,21.15,€800k,Kahraba Ismailia,26,Eritrea,,702910
Eritrea,Nahom Girmai Netabay,Midfielder,CM,17.43,€450k,Degerfors IF,31,Eritrea,Sweden,255768
Eritrea,Oliver Hintsa,Forward,CF,17.44,€450k,Sogndal IL,25,Eritrea,Sweden,501062
Eritrea,Victor Fors,Defender,LB,14.26,€250k,Kongsvinger IL,27,Eritrea,Sweden,381986
Eritrea,Filimon Gerezgiher,Forward,LW,14.2,€250k,FC Emmen,26,Eritrea,Germany,453307
Eritrea,Fahmi Ibrahim,Forward,LW,10.53,€100k,Maharlika FC,26,Eritrea,United States,1317247
Eritrea,Namrud Embaye,Midfielder,DM,9.81,€75k,FV Illertissen,24,Eritrea,Germany,709271
Eritrea,Alexander Isak,Forward,CF,68.28,€85.00m,Liverpool FC,26,Sweden,Eritrea,349066
Eritrea,Paulos Abraham,Forward,LW,26.6,€1.70m,Hammarby IF,23,Sweden,Eritrea,579289
Eritrea,Robert Glatzel,Forward,CF,28.37,€1.50m,VfL Wolfsburg,32,Germany,Eritrea,196139
Eritrea,Faniel Tewelde,Forward,LW,23.39,€1.00m,Odds BK,19,Norway,Eritrea,923110
Eritrea,Henok Teklab,Forward,LW,21.15,€800k,Oud-Heverlee Leuven,27,Germany,Eritrea,492634
Eritrea,Andu Kelati,Forward,LW,20.22,€700k,Holstein Kiel,23,Germany,Eritrea,719694
Eritrea,Fanuel Ghebreyohannes,Defender,RB,18.78,€500k,Fredrikstad FK,19,Norway,Eritrea,949173
Eritrea,Alexander Fesshaie,Forward,CF,16.88,€400k,Helsingborgs IF,22,Sweden,Eritrea,944083
Eritrea,Natan Girma,Midfielder,AM,16.12,€350k,AC Reggiana 1919,24,Switzerland,Eritrea,611861
Eritrea,Hennos Asmelash,Defender,RB,12.6,€175k,FC Milsami Orhei,27,Netherlands,Eritrea,339323
Eritrea,Nhome Daneyl,Midfielder,CM,11.6,€125k,Nordic United FC,17,Sweden,Eritrea,1149605
Eritrea,Milo Yosef,Forward,RW,10.46,€100k,Lexington SC,27,Germany,Eritrea,330268
Dominica,Tobi Jnohope,Forward,,8.55,€50k,Without Club,28,Dominica,,429258
Dominica,Jaden Philogene,Forward,LW,49.6,€20.00m,Ipswich Town,24,England,Dominica,665390
Dominica,Brooke Norton-Cuffy,Defender,RB,49.31,€15.00m,Genoa CFC,22,England,Dominica,728733
Dominica,Tyreece John-Jules,Forward,CF,22.73,€1.00m,Kilmarnock FC,25,England,Dominica,503768
Belize,Krisean López,,,11.21,€125k,Verdes FC,27,Belize,,588946
Belize,Eugene Martínez,,,10.39,€100k,Belmopan FC,28,Belize,,1021147
Belize,Carlos Bernárdez,,,9.35,€75k,CD Victoria La Ceiba,33,Belize,,704929
Belize,Deshawon Nembhard,,,8.41,€50k,Belmopan FC,31,Belize,,743566
Belize,Danilo Santos,Defender,CB,9.38,€75k,Southern District,33,Brazil,Belize,1015971
Barbados,Thierry Gale,,,18.7,€550k,Bolton Wanderers,24,Barbados,,576125
Barbados,Niall Reid-Stephen,,,13.32,€200k,New Mexico United,24,Barbados,,628706
Barbados,Terence Smith,,,8.33,€50k,Stallion Laguna FC,34,Barbados,,562745
Barbados,Khalil Vanderpool-Nurse,,,8.79,€50k,Coastal Spirit FC,21,Barbados,,1192101
Barbados,Myles Lewis-Skelly,Defender,LB,64.55,€45.00m,Arsenal FC,19,England,Barbados,890721
Barbados,Jamie Gittens,Forward,LW,55.72,€30.00m,Chelsea FC,21,England,Barbados,670882
Barbados,Max Alleyne,Defender,CB,43.69,€8.00m,Manchester City,20,England,Barbados,843595
Barbados,Rhian Brewster,Forward,CF,30.26,€2.50m,Derby County,26,England,Barbados,406560
Barbados,Shaq Forde,Forward,RW,13.89,€225k,Bristol Rovers,22,England,Barbados,852517
Barbados,Tyler Blackett,Defender,CB,11.05,€125k,New Mexico United,32,England,Barbados,134414
Barbados,Mason Bennett,Forward,CF,10.32,€100k,Harrogate Town,29,England,Barbados,195637
Mauritius,Dylan Collard,,,19.19,€600k,Lusitânia FC Lourosa,26,Mauritius,,724707
Mauritius,Lindsay Rose,,,10.99,€125k,Aris Thessaloniki,34,Mauritius,,135490
Mauritius,Rosario Latouchent,,,10.23,€100k,Bourges FC,30,Mauritius,,333350
Mauritius,Emmanuel Vincent,,,10.39,€100k,Saint-Denis FC,28,Mauritius,,397959
Mauritius,Yannick Aristide,,,10.6,€100k,Cercle de Joachim SC,25,Mauritius,,739564
Mauritius,Dorian Chiotti,,,10.46,€100k,Blois Football 41,27,Mauritius,,808027
Mauritius,Cooper Legrand,,,10.46,€100k,Port Melbourne Sharks,27,Mauritius,,876208
Mauritius,Adrien Botlar,,,9.48,€75k,Pamplemousses SC,29,Mauritius,,397961
Mauritius,Adel Langue,,,9.54,€75k,Société Sportive Saint-Louisienne,28,Mauritius,,401171
Mauritius,Jason Ferré,,,9.61,€75k,Cercle de Joachim SC,27,Mauritius,,739557
Mauritius,Gabriel Caliste,,,9.86,€75k,West Ham United U21,19,Mauritius,,1135610
Mauritius,Jérémy Villeneuve,,,8.38,€50k,FC Victoria Rosport,32,Mauritius,,512730
Mauritius,Wilson Mootoo,,,8.78,€50k,Without Club,24,Mauritius,,1145569
Mauritius,William François,,,7.47,€25k,Without Club,21,Mauritius,,1271833
Mauritius,Marli Salmon,Defender,CB,40.77,€5.00m,Arsenal FC U21,16,England,Mauritius,1294399
Mauritius,Nicolas Fleuriau Chateau,Forward,CF,11.44,€125k,Galway United FC,24,Canada,Mauritius,1242701
Mauritius,Matthew d'Hotman,Defender,LB,10.78,€100k,Auckland FC Reserves,20,New Zealand,Mauritius,1092672
Mauritius,Jake Moosbally,Defender,CB,7.47,€25k,Fencibles United AFC,24,New Zealand,Mauritius,888573
Nepal,Ananta Tamang,,,13.01,€200k,Fortis FC,28,Nepal,,348816
Nepal,Rohit Chand,,,11.72,€150k,Without Club,34,Nepal,,191021
Nepal,Arik Bista,,,11.29,€125k,Brothers Union,26,Nepal,,736421
Nepal,Ayush Ghalan,,,11.46,€125k,Bangladesh Police FC,22,Nepal,,888934
Nepal,Laken Limbu,,,11.44,€125k,Kirivong Sok Sen Chey FC,23,Nepal,,990650
Nepal,Anjan Bista,,,10.39,€100k,Brothers Union,28,Nepal,,348817
Nepal,Abhishek Limbu,,,10.53,€100k,Rahmatganj MFS,26,Nepal,,771634
Nepal,Sanish Shrestha,,,10.6,€100k,Brothers Union,25,Nepal,,771677
Nepal,Suman Shrestha,,,9.67,€75k,Armed Police Force Club,26,Nepal,,1387556
Nepal,Mani Kumar Lama,,,9.4,€75k,Armed Police Force Club,30,Nepal,,774875
Nepal,Kiran Chemjong,,,8.26,€50k,Victory SC,36,Nepal,,191028
Nepal,Rohan Karki,,,8.77,€50k,Church Boys United,23,Nepal,,1203163
Nepal,Aditya Shakya,,,8.66,€50k,New Road Team,26,Nepal,,1195357
Nepal,Gillespye Jung Karki,,,8.61,€50k,Tribhuvan Army Club,27,Nepal,,1190985
Nepal,Dipesh Gurung,,,8.78,€50k,Church Boys United,22,Nepal,,1059094
Nepal,Sumit Shrestha,,,8.78,€50k,Church Boys United,22,Nepal,,1059085
Nepal,Manish Dangi,,,8.78,€50k,New Road Team,24,Nepal,,888927
Nepal,Yogesh Gurung,,,8.78,€50k,Brothers Union,24,Nepal,,769311
Nepal,Deep Karki,,,8.55,€50k,Church Boys United,28,Nepal,,664117
Nepal,Bimal Pandey,,,7.06,€25k,Without Club,36,Nepal,,774905
Nepal,Kritish Ratna Chhunju,,,7.47,€25k,Thimphu FC,23,Nepal,,771626
Nepal,Kushal Deuba,,,7.48,€25k,Tribhuvan Army Club,19,Nepal,,1207326
Nepal,Subash Bam,,,7.49,€25k,Shree Bhagwati Club,17,Nepal,,1387431
Nepal,Bhabindra Malla Thakuri,Goalkeeper,GK,8.41,€50k,Rajasthan United,33,India,Nepal,931175
Montserrat,Jeriel Dorsett,,,17.49,€450k,Reading FC,24,Montserrat,,503989
Montserrat,Nico Gordon,,,13.32,€200k,Monterey Bay FC,24,Montserrat,,733300
Montserrat,Brandon Comley,,,10.23,€100k,Walsall FC,30,Montserrat,,362809
Montserrat,Donervon Daniels,,,9.37,€75k,Oldham Athletic,32,Montserrat,,199522
Montserrat,Lenni Cirino,,,9.8,€75k,Gillingham FC,23,Montserrat,,650884
Montserrat,Joe Willock,Midfielder,CM,48.05,€14.00m,Newcastle United,26,England,Montserrat,340329
Montserrat,Darnell Furlong,Defender,RB,31.91,€2.50m,Ipswich Town,30,England,Montserrat,351755
Montserrat,Chris Willock,Forward,LW,24.31,€1.20m,Cardiff City,28,England,Montserrat,314341
St Vincent and the Grenadines,Jesse Lingard,Midfielder,AM,33.19,€2.00m,Corinthians,33,England,St. Vincent and the Grenadines,141660
St Vincent and the Grenadines,Ellery Balcombe,Goalkeeper,GK,17.32,€400k,Brentford,26,England,St. Vincent and the Grenadines,456292
St Vincent and the Grenadines,Kimani Stewart-Baynes,Forward,LW,13.40,€200k,Colorado Rapids,21,Canada,St. Vincent and the Grenadines,1128512
St Vincent and the Grenadines,Kyle Edwards,Forward,CF,12.36,€175k,Sacramento Republic FC,29,St. Vincent and the Grenadines,,344481
St Vincent and the Grenadines,Oalex Anderson,Forward,CF,11.63,€150k,Las Vegas Lights FC,30,St. Vincent and the Grenadines,,313448
St Vincent and the Grenadines,Tristan Marshall,Defender,CB,10.74,€100k,Pacific FC,22,St. Vincent and the Grenadines,,659345
St Vincent and the Grenadines,Cornelius Stewart,Forward,RW,8.26,€50k,Semen Padang,36,St. Vincent and the Grenadines,,76529
